ID,Category,Value
1,A,60868
2,B,sort
3,D,Yes
4,B,message
5,D,No
6,B,while
7,B,fire
8,B,opportunity
9,E,34.0
10,D,Yes
11,A,60837
12,D,Yes
13,A,60729
14,B,within
15,A,37807
16,D,Yes
17,C,1908-04-27
18,E,28.0
19,C,2017-10-24
20,E,75.0
21,B,history
22,E,70.8
23,D,Yes
24,D,Yes
25,D,Yes
26,E,45.5
27,A,30759
28,E,41.0
29,E,92.1
30,C,2019-01-15
31,B,service
32,E,26.4
33,B,window
34,D,No
35,B,suddenly
36,C,2014-07-10
37,A,50328
38,C,1910-05-19
39,D,No
40,B,for
41,C,1931-01-12
42,B,computer
43,A,19777
44,D,Yes
45,D,Yes
46,B,authority
47,B,six
48,B,room
49,A,3818
50,A,75901
51,B,blue
52,B,herself
53,D,No
54,A,62567
55,B,good
56,B,bar
57,C,2000-06-22
58,D,No
59,B,tax
60,A,59717
61,B,total
62,B,deep
63,B,stand
64,A,45515
65,C,1994-01-15
66,B,interesting
67,E,51.8
68,B,whole
69,E,33.0
70,A,93898
71,D,Yes
72,C,2014-05-17
73,B,couple
74,C,1961-04-02
75,D,No
76,B,air
77,D,No
78,A,46443
79,A,79463
80,A,43039
81,A,27484
82,D,Yes
83,A,97340
84,C,1944-03-23
85,E,85.5
86,E,38.3
87,D,Yes
88,C,1989-06-07
89,D,No
90,E,64.5
91,A,67314
92,E,74.7
93,B,land
94,A,36492
95,B,person
96,C,1923-04-07
97,E,69.5
98,A,58663
99,D,Yes
100,A,58421
101,E,90.8
102,B,right
103,A,67167
104,E,95.0
105,E,50.1
106,C,1972-09-09
107,E,89.5
108,C,1988-06-01
109,D,No
110,B,difference
111,C,1967-03-04
112,E,25.2
113,D,Yes
114,E,62.6
115,D,Yes
116,E,63.9
117,C,2018-03-27
118,E,92.9
119,D,Yes
120,A,80171
121,E,8.1
122,E,29.1
123,D,Yes
124,D,No
125,A,73809
126,D,Yes
127,B,work
128,E,50.6
129,A,52422
130,E,93.0
131,B,level
132,E,53.8
133,A,3120
134,B,somebody
135,A,73225
136,C,1929-10-17
137,B,fight
138,E,2.1
139,C,1929-08-08
140,A,52263
141,B,usually
142,D,No
143,D,Yes
144,A,41440
145,B,bank
146,C,2007-09-11
147,D,No
148,D,No
149,E,6.2
150,A,8596
151,A,27770
152,D,No
153,A,73833
154,C,1954-01-05
155,A,46192
156,C,1997-05-20
157,E,2.0
158,D,No
159,B,network
160,E,39.5
161,B,officer
162,B,feel
163,A,6754
164,E,9.8
165,B,very
166,E,43.0
167,C,1991-10-15
168,C,2016-03-19
169,E,91.9
170,B,if
171,D,Yes
172,A,21423
173,E,84.6
174,D,Yes
175,E,32.4
176,D,No
177,A,82220
178,B,ahead
179,E,19.9
180,A,4258
181,A,78333
182,C,2001-12-03
183,C,1968-06-18
184,B,guess
185,A,65577
186,C,2002-05-02
187,D,No
188,A,95194
189,C,1910-12-02
190,E,51.7
191,B,foot
192,A,69150
193,E,63.7
194,A,85716
195,B,network
196,D,Yes
197,B,feeling
198,C,1965-08-08
199,E,11.1
200,C,1999-10-20
201,C,1934-01-22
202,D,Yes
203,A,3346
204,C,1977-04-08
205,C,1983-09-17
206,D,No
207,A,73482
208,B,others
209,A,23832
210,B,goal
211,D,Yes
212,E,66.0
213,C,1927-11-11
214,C,1979-06-10
215,C,1930-06-13
216,E,65.7
217,C,2008-04-30
218,E,81.6
219,E,86.4
220,E,7.4
221,B,memory
222,E,78.7
223,C,1957-12-29
224,B,quickly
225,A,16047
226,B,author
227,B,you
228,C,1980-01-14
229,C,1927-07-02
230,D,No
231,A,75336
232,C,1927-08-18
233,B,loss
234,C,1982-05-21
235,C,1917-04-24
236,D,No
237,E,30.9
238,C,1908-08-23
239,A,3902
240,B,lose
241,C,2008-02-23
242,E,70.0
243,A,11071
244,C,1996-05-05
245,B,information
246,B,read
247,E,36.5
248,E,73.0
249,E,35.1
250,A,16680
251,A,52069
252,D,Yes
253,C,1986-12-08
254,D,No
255,E,85.7
256,C,1959-01-31
257,C,1997-11-06
258,A,44266
259,A,56367
260,E,40.2
261,E,34.4
262,B,push
263,D,Yes
264,A,80664
265,B,hundred
266,E,23.8
267,D,No
268,C,1985-02-16
269,E,19.2
270,A,67857
271,B,every
272,D,Yes
273,D,No
274,C,1939-05-19
275,A,41977
276,D,Yes
277,A,87078
278,C,1913-01-18
279,C,1999-04-13
280,E,30.4
281,D,No
282,B,explain
283,B,week
284,C,1949-10-19
285,C,1967-07-25
286,B,available
287,E,23.1
288,B,interesting
289,A,60647
290,B,share
291,E,22.8
292,A,17757
293,A,63292
294,C,1981-05-06
295,E,87.1
296,C,2006-08-13
297,D,Yes
298,E,11.0
299,E,20.6
300,E,62.1
301,B,executive
302,D,Yes
303,E,24.2
304,A,32256
305,B,these
306,B,somebody
307,D,Yes
308,C,1971-05-09
309,D,Yes
310,E,33.1
311,E,3.1
312,A,12945
313,B,serious
314,E,53.7
315,E,67.9
316,E,24.6
317,B,alone
318,B,anyone
319,E,73.5
320,D,No
321,A,22450
322,B,partner
323,E,55.8
324,A,76281
325,E,91.5
326,B,happy
327,E,26.7
328,A,55970
329,A,33328
330,A,23364
331,C,1955-04-10
332,C,1974-05-06
333,B,develop
334,D,No
335,E,46.2
336,D,Yes
337,C,1926-01-10
338,E,55.2
339,C,1997-02-23
340,B,money
341,D,No
342,A,80733
343,A,12324
344,C,1994-01-28
345,B,others
346,A,30199
347,D,No
348,D,No
349,C,1987-09-10
350,C,1924-04-04
351,D,Yes
352,D,Yes
353,D,Yes
354,B,feeling
355,D,No
356,B,drive
357,C,2020-01-02
358,B,grow
359,A,69901
360,C,1918-10-23
361,B,they
362,B,firm
363,C,1975-09-12
364,B,between
365,C,1966-05-27
366,E,39.6
367,E,6.3
368,E,73.7
369,C,1978-05-19
370,B,control
371,B,although
372,D,Yes
373,D,No
374,E,38.8
375,B,life
376,C,1915-01-12
377,E,95.0
378,B,option
379,A,30387
380,A,20713
381,C,1933-07-02
382,B,bank
383,E,25.7
384,A,72809
385,B,card
386,C,1971-06-17
387,C,1948-06-02
388,E,28.0
389,C,2000-06-02
390,A,54410
391,E,32.0
392,A,20470
393,A,80495
394,B,account
395,B,especially
396,C,1908-12-25
397,A,39288
398,A,63401
399,C,1912-01-22
400,E,26.3
401,B,executive
402,B,special
403,A,2822
404,B,body
405,C,1940-12-17
406,E,79.4
407,B,possible
408,C,2013-11-04
409,C,1974-12-27
410,E,49.2
411,D,Yes
412,A,35862
413,A,28469
414,E,35.2
415,B,over
416,E,18.6
417,D,No
418,E,30.6
419,C,1992-09-28
420,C,1920-06-25
421,C,1984-02-15
422,D,Yes
423,D,No
424,E,22.9
425,D,No
426,B,trip
427,C,1943-02-01
428,B,expect
429,E,90.3
430,A,87006
431,A,82522
432,D,Yes
433,D,No
434,E,44.6
435,D,No
436,B,international
437,A,16683
438,A,21618
439,B,stand
440,A,45842
441,B,foreign
442,D,No
443,B,along
444,A,57807
445,A,76480
446,E,47.3
447,D,Yes
448,B,though
449,D,Yes
450,E,35.6
451,A,98737
452,A,69631
453,D,No
454,E,66.3
455,E,43.5
456,E,48.3
457,C,1948-07-07
458,C,1985-01-29
459,C,2022-01-13
460,A,73817
461,D,No
462,B,difference
463,C,1966-07-25
464,A,19131
465,E,92.5
466,C,1988-02-14
467,C,1979-09-28
468,E,72.0
469,E,44.0
470,C,1908-05-27
471,E,94.8
472,E,22.1
473,D,Yes
474,C,1914-06-09
475,D,Yes
476,E,85.6
477,D,No
478,D,No
479,B,production
480,C,1993-05-23
481,D,No
482,D,No
483,A,45906
484,D,No
485,E,44.1
486,E,1.8
487,A,52637
488,E,97.8
489,C,1938-10-24
490,D,No
491,B,fast
492,C,1909-09-26
493,D,Yes
494,A,81961
495,B,see
496,B,receive
497,B,case
498,E,77.4
499,A,74604
500,E,95.1
501,C,2006-10-25
502,C,2010-05-09
503,D,Yes
504,E,41.0
505,C,1954-04-23
506,E,12.4
507,A,79226
508,D,Yes
509,C,1953-05-18
510,E,47.8
511,D,No
512,E,70.8
513,A,25700
514,D,No
515,B,appear
516,D,No
517,E,94.1
518,E,23.6
519,E,18.7
520,D,No
521,E,89.8
522,C,1988-06-24
523,E,46.3
524,E,24.3
525,A,47920
526,A,48356
527,D,No
528,A,51991
529,D,Yes
530,B,worry
531,D,Yes
532,A,43254
533,D,Yes
534,B,value
535,E,60.7
536,C,1916-10-06
537,D,No
538,E,82.4
539,A,39322
540,E,94.8
541,A,78547
542,E,18.0
543,A,22096
544,E,2.8
545,E,37.6
546,E,55.1
547,B,fire
548,E,88.0
549,E,64.7
550,C,1996-07-30
551,D,Yes
552,E,52.8
553,D,Yes
554,E,90.4
555,E,7.4
556,D,Yes
557,E,63.1
558,C,1942-04-01
559,E,9.8
560,B,current
561,E,60.5
562,D,No
563,D,Yes
564,E,14.1
565,D,Yes
566,E,15.0
567,C,1948-05-29
568,C,2008-06-24
569,A,3439
570,D,No
571,E,80.7
572,E,54.3
573,B,practice
574,C,1987-08-04
575,C,2011-09-29
576,C,2019-02-08
577,D,No
578,A,42840
579,D,Yes
580,A,86136
581,C,1979-11-19
582,C,1928-09-18
583,C,1965-01-13
584,E,90.3
585,A,46574
586,D,No
587,D,Yes
588,B,individual
589,C,2017-01-07
590,E,87.6
591,C,1985-02-21
592,A,46234
593,C,2008-05-08
594,B,since
595,A,23341
596,A,41597
597,A,85116
598,C,1995-12-05
599,D,Yes
600,A,39577
601,C,2008-03-30
602,A,79323
603,C,2014-11-28
604,C,1941-02-25
605,A,87129
606,C,1995-12-25
607,A,22951
608,B,alone
609,C,1989-04-23
610,B,green
611,D,No
612,B,explain
613,B,reflect
614,A,46480
615,A,6836
616,D,No
617,D,No
618,D,Yes
619,A,43134
620,B,level
621,B,represent
622,E,35.5
623,A,40416
624,C,1928-04-14
625,D,Yes
626,B,city
627,B,stand
628,B,media
629,A,83151
630,B,much
631,D,No
632,C,1934-04-29
633,B,play
634,B,sort
635,A,25794
636,C,1935-01-01
637,A,6313
638,B,bank
639,C,1949-01-23
640,A,94323
641,B,analysis
642,E,58.2
643,A,98771
644,A,26221
645,B,meet
646,C,1965-06-22
647,E,37.6
648,D,No
649,A,56661
650,C,1964-04-19
651,B,today
652,D,No
653,E,32.0
654,E,87.1
655,C,1997-02-05
656,E,49.0
657,B,still
658,B,hospital
659,D,Yes
660,A,96595
661,A,35234
662,A,71175
663,E,45.5
664,A,72648
665,E,64.7
666,B,third
667,A,29021
668,B,policy
669,C,1954-05-27
670,B,traditional
671,E,92.3
672,A,34467
673,E,78.1
674,A,22116
675,A,13548
676,D,Yes
677,E,30.7
678,D,Yes
679,E,22.6
680,B,bag
681,B,popular
682,D,No
683,D,Yes
684,A,82121
685,C,1961-05-06
686,D,Yes
687,B,good
688,A,97358
689,A,78537
690,E,40.2
691,C,1934-07-19
692,A,48868
693,C,2017-04-05
694,D,No
695,B,we
696,A,63532
697,E,84.6
698,E,43.4
699,D,No
700,D,Yes
701,D,Yes
702,A,25618
703,B,just
704,C,1918-07-05
705,B,prepare
706,C,1972-01-11
707,B,seven
708,B,citizen
709,B,police
710,C,1941-10-10
711,A,63444
712,C,1914-07-23
713,B,security
714,D,No
715,D,No
716,A,10385
717,C,2019-01-25
718,C,1916-07-11
719,B,test
720,E,77.3
721,A,76288
722,E,64.7
723,B,place
724,D,No
725,E,86.7
726,B,where
727,A,32035
728,D,No
729,C,1985-08-15
730,E,77.3
731,E,67.6
732,A,96535
733,C,1995-10-13
734,C,1928-02-06
735,C,1922-07-19
736,E,2.0
737,C,1910-04-13
738,C,1953-09-10
739,D,Yes
740,C,1917-08-29
741,A,60755
742,C,1971-12-02
743,C,1945-02-14
744,C,1959-03-11
745,C,2019-07-06
746,C,1999-06-16
747,E,60.7
748,C,1939-09-20
749,C,1929-04-15
750,D,No
751,B,challenge
752,C,1966-09-10
753,E,39.8
754,C,1982-12-18
755,D,Yes
756,D,Yes
757,C,1941-12-31
758,C,1975-04-28
759,A,94034
760,C,2000-09-08
761,B,ball
762,C,1984-05-15
763,E,67.0
764,A,56717
765,C,1953-05-27
766,E,86.6
767,A,76083
768,A,34055
769,B,capital
770,C,2007-05-12
771,C,1995-07-22
772,C,1990-02-03
773,C,1989-03-04
774,B,tell
775,D,No
776,B,too
777,C,2022-11-15
778,B,number
779,C,1941-09-25
780,A,9859
781,B,television
782,A,22135
783,A,98796
784,E,6.4
785,A,44665
786,C,1928-06-14
787,A,63569
788,C,1928-06-05
789,D,No
790,E,67.2
791,D,Yes
792,D,Yes
793,D,No
794,A,46647
795,A,75389
796,B,inside
797,D,Yes
798,B,strong
799,A,80441
800,C,1910-10-05
801,C,1934-11-02
802,D,No
803,A,83674
804,A,75189
805,E,95.4
806,A,6124
807,A,61298
808,A,16904
809,A,32709
810,E,52.7
811,C,1971-11-27
812,E,23.3
813,E,49.3
814,E,71.3
815,B,same
816,A,96261
817,A,41043
818,A,51937
819,A,95980
820,B,whole
821,B,too
822,B,benefit
823,A,79725
824,D,No
825,B,then
826,B,our
827,B,final
828,C,1972-10-09
829,E,32.2
830,B,respond
831,C,1915-01-03
832,B,continue
833,C,2001-06-04
834,C,1941-10-07
835,D,No
836,D,No
837,C,1974-05-21
838,A,24152
839,C,1988-09-06
840,C,1975-06-20
841,E,19.1
842,C,2009-11-24
843,B,truth
844,B,already
845,A,23540
846,A,34254
847,E,11.5
848,D,Yes
849,A,36267
850,B,matter
851,D,No
852,E,16.6
853,C,1915-01-03
854,E,25.3
855,C,2014-05-13
856,C,1958-02-08
857,D,Yes
858,D,Yes
859,E,5.6
860,A,6884
861,A,80625
862,B,involve
863,B,include
864,E,0.8
865,B,heavy
866,B,data
867,C,1934-10-10
868,E,86.2
869,B,visit
870,D,Yes
871,C,1949-11-22
872,A,99028
873,A,92381
874,A,36927
875,E,80.2
876,D,No
877,E,23.7
878,C,1975-04-02
879,D,Yes
880,A,52350
881,C,2021-03-05
882,B,our
883,D,No
884,D,No
885,D,No
886,D,Yes
887,C,2003-05-14
888,A,96300
889,E,28.7
890,E,12.2
891,E,58.5
892,E,35.0
893,A,83744
894,C,1994-04-20
895,D,No
896,C,1970-03-04
897,D,Yes
898,E,16.4
899,D,No
900,E,29.5
901,B,whatever
902,D,No
903,E,62.2
904,C,1984-02-11
905,B,this
906,A,21807
907,A,93133
908,C,1959-04-23
909,E,37.3
910,A,91171
911,B,long
912,D,Yes
913,B,describe
914,C,1955-04-17
915,A,74549
916,B,society
917,A,70130
918,E,13.7
919,C,1922-09-02
920,D,No
921,D,No
922,D,Yes
923,D,Yes
924,B,dream
925,B,assume
926,D,No
927,E,85.4
928,C,1912-10-23
929,E,93.1
930,D,Yes
931,E,69.5
932,C,2008-04-09
933,C,1948-06-13
934,B,top
935,C,1942-02-21
936,B,learn
937,D,No
938,E,29.3
939,D,Yes
940,D,No
941,D,No
942,B,natural
943,E,10.1
944,D,Yes
945,B,instead
946,C,1964-07-13
947,A,64068
948,B,avoid
949,D,No
950,A,28475
951,C,1982-09-14
952,D,No
953,D,No
954,A,86198
955,B,what
956,A,87975
957,A,99164
958,B,television
959,B,family
960,C,1974-08-30
961,D,Yes
962,A,26188
963,B,score
964,A,73875
965,B,together
966,A,15630
967,D,Yes
968,E,51.9
969,D,Yes
970,E,6.7
971,A,47854
972,B,back
973,A,43850
974,D,Yes
975,E,13.9
976,C,2017-02-25
977,B,wide
978,C,1957-07-02
979,D,No
980,E,4.4
981,C,1928-06-03
982,E,53.6
983,A,88314
984,B,cell
985,A,65445
986,E,4.4
987,C,2008-12-17
988,D,Yes
989,E,41.9
990,D,Yes
991,A,27855
992,D,Yes
993,D,Yes
994,A,87882
995,C,1930-10-10
996,B,public
997,C,1967-06-11
998,C,1939-09-19
999,A,36321
1000,A,32127
